Retail;Enseña;CIUDAD;PROVINCIA;DIRECCIÓN CENTRO;LATITUD;LONGITUD
A;A;BARCELONA;BARCELONA;DIAGONAL, 545 (L´ILLA DIAGONAL);41.3901737;2.1365398
A;A;CALDES DE MONTBUI;BARCELONA;PI I MARGALL, 183;41.6251843;2.1709701
A;A;ABRERA;BARCELONA;HOSTAL DEL PI, 4-6;41.5069578;1.9032708
A;A;BARCELONA;BARCELONA;PROVIDENCIA, 160-166;41.4097984;2.1628974
A;A;BARCELONA;BARCELONA;TRAVESSERA DE GRÀCIA, 72-78;41.3971374;2.151431
A;A;BARCELONA;BARCELONA;RAMBLA GUIPUZCUA, 116-120;41.4200323;2.2024343
A;A;BARCELONA;BARCELONA;SANT MARIUS 52-54;41.4021674;2.1357712
A;A;L´HOSPITALET;BARCELONA;RAMBLA MARINA, 303;41.35194;2.1084557
A;A;MOLLET DEL VALLES;BARCELONA;AVDA RABASSARIES S/N;41.5400412;2.2214591
A;A;STA. Mª. PALAUTORDERA;BARCELONA;CAMÍ VELL DE ST.CELONI, 13-33;41.6842374;2.4773947
A;A;MASNOU;BARCELONA;POL IND VORAMAR, NACIONAL II, KM 635;41.4839418;2.336648
A;A;LA GARRIGA;BARCELONA;POL.IND. CAN ILLA / AV.JACINT VERDAGUER;41.6743404;2.2795745
A;A;BLANES;GIRONA;CTRA. DE L´ESTACIÓ S/N;41.6759077;2.7771024
A;A;MALGRAT;BARCELONA;AVDA. DEL CARME, 14;41.6476301;2.7459388
A;A;SABADELL;BARCELONA;AV. BARBERA, 238;41.5341522;2.1141312
A;A;SANT CUGAT;BARCELONA;SALVADOR ESPRIU CANTONADA PAU VI;41.4667371;2.0700525
A;A;ALTAFULLA;TARRAGONA;CTRA NACIONAL 340, KM 1173;41.140144;1.3739999
A;A;CALAFELL;TARRAGONA;LATERAL CTRA COMARCAL 246, KM 56;41.1913422;1.5906646
A;A;SITGES;BARCELONA;RAMON DALMASES, 50;41.240244;1.7968802
A;A;SANT PERE DE RIBES;BARCELONA;PROLONGACION RONDA IBERICA S/N;41.2337315;1.7415888
A;A;CORBERA LLOBREGAT;BARCELONA;CTRA A SANT ANDREU DE LA BARCA 16 (ELS CARSOS);41.4482462;1.9694731
A;A;VILADECANS;BARCELONA;AV. JOSEP TARRADELLAS CANTONDAD C/ RAJOLERIA;41.3150077;2.0137014
A;A;ESPLUGUES;BARCELONA;CTRA. DE CORNELLÀ, 52-60;41.3750705;2.0859199
A;A;SANT VICENÇ DEL HORTS;BARCELONA;CTRA DE SANT BOI, 63;41.3971071;2.0110151
A;A;SANT BOI;BARCELONA;FRANCESC FERRES I FERRES, 2;41.3510435;2.0305673
A;A;SANT FELIU LLOBREGAT;BARCELONA;PASSEIG COMTE DE VILARDAGA, 119;41.3881111;2.0567689
A;A;SANT JOAN DESPI;BARCELONA;AVDA ONZE SETEMBRE, 13-17;41.3756802;2.0476983
A;A;MOLINS DE REI;BARCELONA;FRANCESC LAYRET, 2-4;41.4046781;2.0229867
A;A;SANT JUST;BARCELONA;L´ILLA WALDEN 7, ZONA R IV (WALDEN);41.3802939;2.0677564
A;A;VIELLA;LLEIDA;CTRA. DE FRANÇA, S/N;42.7102051;0.7969079
A;A;BARCELONA;BARCELONA;ESCIPIO, 22;41.4071893;2.1453303
A;A;BARCELONA;BARCELONA;MORAGUES, 15 (FOLGUEROLES);41.4081444;2.1366905
A;A;BARCELONA;BARCELONA;VINYAR, 21;41.4417181;2.1825938
A;A;BARCELONA;BARCELONA;PLAÇA FONT, 1 - MERCAT MUNICIPAL BARCELONETA;41.3842701;2.1855573
A;A;BARCELONA;BARCELONA;CINCA, 48-56;41.4381596;2.1924017
A;A;BARCELONA;BARCELONA;AV. DEL JORDA, 20-24;41.426969;2.1379495
A;A;BADALONA;BARCELONA;ANDREU SEGOVIA;41.4380602;2.2228929
A;A;BARCELONA;BARCELONA;MADRAZO, 100;41.3962557;2.143557
A;A;BARCELONA;BARCELONA;SENILLOSA, 8-10 (FONTCOBERTA);41.3952453;2.1244233
A;A;BARCELONA;BARCELONA;RAMBLA PRIM, 139;41.4205062;2.2066235
A;A;L'HOSPITALET;BARCELONA;SANTA EULALIA 51;41.3671437;2.1288761
A;A;L´HOSPITALET;BARCELONA;BARCELONA, 2 (LA FARGA);41.3632739;2.1047703
A;A;GRANOLLERS;BARCELONA;CTRA. COMARCAL 251 DE GRANOLLERS A SANT CELONI;41.7018881;2.5139492
A;A;MANRESA;BARCELONA;PASSEIG PERE III, S/N;41.7295121;1.8248134
A;A;BERGA;BARCELONA;AV.CANALS, S/N CANTONADA PERE II;42.1012595;1.8439221
A;A;LA SEU D´URGELL;LLEIDA;PASSEIG PASCUAL INGLA, 9-11;42.3586188;1.4578993
A;A;VILASSAR DE MAR;BARCELONA;CTRA A CABRILS S/N;41.5055865;2.3873323
A;A;ARENYS DE MAR;BARCELONA;NII PARAJE RIAL LLARG;41.5755525;2.5367109
A;A;CERDANYOLA DEL VALLES;BARCELONA;SANT RAMÓN 9;41.489348;2.1364409
A;A;GIRONA;GIRONA;PEDRET, 101-109;42.0021885;2.8239805
A;A;SENTMENAT;BARCELONA;CTRA DE CALDES S/N;41.5590386;2.1179642
A;A;PALAU DE PLEGAMANS;BARCELONA;AVDA CATALUNYA ENTRE NORD I ARIMON;41.583715;2.1805287
A;A;LLORET;GIRONA;CARRETERA DE BLANES, 120;41.7000041;2.8319658
A;A;SABADELL;BARCELONA;RAMBLA SABADELL, 141;41.5422745;2.1113499
A;A;RUBI;BARCELONA;PARCEL.LA A CAN SAN JOAN;41.4971174;2.0349243
A;A;SANT CUGAT;BARCELONA;RAMBLA CELLER COOPERATIU, 115;41.4721474;2.0880188
A;A;MARTORELL;BARCELONA;AV. FRANCESC RIERA, S/N;41.4808483;1.9139288
A;A;MONTBLANC;TARRAGONA;CTRA. N-240, S/N;41.6762184;0.5011768
A;A;SANTA OLIVA;TARRAGONA;POL. MOLÍ D´EN SERRA, PARCELA, 10-15;41.2533139;1.5521598
A;A;IGUALADA;BARCELONA;SANT JOSEP, 116;41.5848543;1.6258007
A;A;BEGUES;BARCELONA;PER VINDRE I VIAL NOU - ZONA INDUSTRIAL MAS PASCUAL;41.3330567;1.9184119
A;A;SANT ANDREU DE LA BARCA;BARCELONA;CRTA. NACIONAL II, KM 593 (SECTOR 21 - C. ST. ANDREU PARC);41.4531096;1.9698076
A;A;VILADECANS;BARCELONA;AVDA. DEL MOLI, 31;41.3218019;2.0116959
A;A;PRAT LLOBREGAT;BARCELONA;CARRETERA MARINA, 18;41.3279974;2.0992662
A;A;ESPLUGUES;BARCELONA;VERGE MERCÈ, S/N;41.3729514;2.0990533
A;A;VALLIRANA;BARCELONA;MAJOR, 200;41.3899342;1.9363505
A;A;S.JOAN DESPI;BARCELONA;AVDA. BARCELONA, S/N;41.361832;2.056686
A;A;CORNELLA;BARCELONA;AVDA. MIRANDA, 81;41.3601115;2.0791309
A;A;SANT JOAN DESPI;BARCELONA;BON VIATGE, 11;41.3662366;2.0574438
A;A;LLEIDA;LLEIDA;ONZE DE SETEMBRE, S/N;41.6220449;0.6104866
A;A;GOLMES;LLEIDA;POLÍGON IND. GOLPARK NII KM486;41.6324739;0.9322549
A;A;LES BORGES BLANQUES;LLEIDA;PASSEIG DEL TERRALL, 16-18;41.5193018;0.8663684
A;A;BARCELONA;BARCELONA;INDUSTRIA, 90-94;41.4083076;2.1720423
A;A;BARCELONA;BARCELONA;SICILIA, 406-408;41.4066077;2.1671542
A;A;BARCELONA;BARCELONA;PALENCIA, 13 - 21;41.4174376;2.189209
A;A;BARCELONA;BARCELONA;CASTILLEJOS 320;41.4092651;2.1748694
A;A;BARCELONA;BARCELONA;CARRETERA ANTIGA DE MATARO, 20-20 BIS;41.3923648;2.1886773
A;A;BARCELONA;BARCELONA;RICARDO VILLA, 2 (AVDA SARRIÀ);41.3923981;2.1331712
A;A;BARCELONA;BARCELONA;VERDI, 214 (MERCAT DE LESSEPS);41.4089783;2.1520486
A;A;BARCELONA;BARCELONA;ENCARNACIÓ, 86-88;41.4073899;2.1617338
A;A;BARCELONA;BARCELONA;GANDUXER, 14-16;41.3926716;2.1390643
A;A;BARCELONA;BARCELONA;FABRA I PUIG, 166-182;41.4303752;2.1797726
A;A;BARCELONA;BARCELONA;ANTONI COSTA CUIXART,23 (AV. BORBÓ);41.4278255;2.1748419
A;A;BARCELONA;BARCELONA;CARTELLÀ, 87-89;41.4283098;2.1699332
A;A;BARCELONA;BARCELONA;CÒRSEGA, 301;41.3949486;2.1569816
A;A;BARCELONA;BARCELONA;VILLARROEL 194-196;41.3912224;2.1490673
A;A;BARCELONA;BARCELONA;COMTE BORRELL, 218;41.3862735;2.15102
A;A;BARCELONA;BARCELONA;GRAN DE SANT ANDREU, 140;41.4315261;2.1895085
A;A;BARCELONA;BARCELONA;TRAVESSERA DE LES CORTS, 373;41.3903649;2.140567
A;A;BARCELONA;BARCELONA;GRAN DE SANT ANDREU, 456-462;41.4415599;2.1883922
A;A;BARCELONA;BARCELONA;PASSEIG VALLDAURA, 218-220;41.4379887;2.1738311
A;A;BARCELONA;BARCELONA;JOSEP TARRADELLAS, 114;41.3896144;2.1437406
A;A;BARCELONA;BARCELONA;BIGAI, 6;41.4050308;2.1327943
A;A;STA. COLOMA GRAM.;BARCELONA;AV. GENERALITAT, 44-46;41.449064;2.2100251
A;A;BARCELONA;BARCELONA;DESCARTES, 26-28 (SANTALÓ);41.3990655;2.1411548
A;A;BARCELONA;BARCELONA;CALVET, 41-45;41.395523;2.1421416
A;A;BARCELONA;BARCELONA;REINA ELISENDA, 9-11;41.3991672;2.1199469
A;A;BARCELONA;BARCELONA;MUNTANER, 470-474;41.4023879;2.1388054
A;A;BARCELONA;BARCELONA;SANTS, 71;41.3751839;2.1373698
A;A;L'HOSPITALET;BARCELONA;SANTA EULALIA 135;41.366518;2.1240432
